tel,email,client_id,TotalSum,TotalAvg,Orders
7011255934,87788433718@mail.ru,vTzQyRgpAz1Dzzrd,1270,635.0,2
7475053415,,8QCpTluUfnC8uAsp,400,400.0,1
7573050559,ngtucrpzccffc@rambler.ru,zpzqzAzRXcnpOaXQ,600,600.0,1
7473552035,,4fcnzzuwdn13rl7D,979,489.5,2
7344053354,pclufac3@yandex.ru,r3zJ3jCC14vXDfR7,933,933.0,1
7990155539,,rfzza7lTpusYw4Yn,980,980.0,1
7301152055,,v77spa3ssg3cg8cp,1300,433.3333333333333,3
7000153553,fctclysrcp@gmail.com,dzUfvcrrYSvsgy7w,2240,2240.0,1
7152251000,zcrpcratc-dcrcpzsccyc@yandex.ru,rCpaX4nrnY4YfxQJ,1150,1150.0,1
7545255747,zr-rczczcfpz87@list.ru,yzzguzwS4rcznfJj,1170,1170.0,1
7357255359,crtgz-snsp@list.ru,crnnfffA7dtnr7Ul,3226,1613.0,2
7523055337,,fpwLnazUr3wn73Lf,885,885.0,1
7140253375,rcrlczpzcarafc@rambler.ru,4nAQ8duwdZ7vaQUn,5338,5338.0,1
7513252455,spufdpvafvafaty@list.ru,78WO43adcppXTvZR,1269,1269.0,1
7121333212,pnpjcs@gmail.com,fgc3rrrzOn4z343d,3561,1187.0,3
7925252551,,fcarOwTzTnczjrR4,1557,1557.0,1
7725351900,ausgzc447@ya.ru,4747173187138811,1055,1055.0,1
7747251175,nczcrgd@gmail.com,AfncYRQczA7RUzAs,1026,1026.0,1
7575359730,clgxcfdr-rytpz@mail.ru,4cdf3qTRSn3dd8gX,1326,1326.0,1
7427350450,,4qgzzldDtc4dl4S3,400,400.0,1
7932259530,,zYnzsQnWOdwtTTva,1915,1915.0,1
7329255323,cculpzc-g83@mail.ru,a3vdv3Xj3Yjz33Cn,646,646.0,1
7734253057,87787173177@mail.ru,rpnXgnyr3JR7sxf7,1477,1477.0,1
7703255201,pcldcc-nplsrccpzc@yandex.ru,OajnwnXr8pcwrr3p,2782,1391.0,2
7350252595,ljuljc73@yandex.ru,tzSg1nca4Uw7Cvj8,400,400.0,1
7755050721,c-v-sclccrpz@gmail.com,7ntTLLd3aC8rQurW,2331,2331.0,1
7551153779,sgcctucc@gmail.com,ROXCW4n3RLATndYx,2784,1392.0,2
7002259324,3113834@bk.ru,CnzDd3C4vfxwn3cn,476,476.0,1
7572257323,,surarrd3L3rvvqfO,1628,1628.0,1
7125259703,,qnLRDgrJJXdpTwgn,400,400.0,1
7051552539,rgd-wratg-zcf-3733@gmail.com,S34rC4D3YnnnznUl,1358,1358.0,1
7203595123,,nw8fL3RqAp4vj7ax,400,400.0,1
7455259314,stcssncrtcc87@gmail.com,vwTv3vATpX787Yzp,4333,2166.5,2
7301251070,zcrtc_z87@mail.ru,7wvp8fATCQT4nz7f,2555,1277.5,2
7219352500,,dW8nnJ7fgrrOSZuw,1190,1190.0,1
7454352551,nrusfacc3317@gmail.com,nffrnuT33pncpfgr,1190,1190.0,1
7539051492,87143783433@mail.ru,jvY4n4jl8pTwdzct,930,465.0,2
7057253555,plc-7777@bk.ru,wvgcCLvr3clrpW78,766,766.0,1
7551275142,zcrafc@7771877. ru,C7lnArvfAtfgCgOw,563,563.0,1
7345153352,drgcpgf777@mail.ru,XOtpzQp7tOpZJUcs,563,563.0,1
7555253405,cpsgr3337@mail.ru,UR1zdJUu4cn7JngO,777,388.5,2
7552250257,daszgzngr88@mail.ru,4qg3RL7c3j33pzn7,1190,1190.0,1
7557093905,crastyf3@yandex.ru,4743733333877481,2230,2230.0,1
7399253734,zafccpzccf@gmail.com,wn7pqrrUlapnrnLv,1200,1200.0,1
7550255373,cffc-fpscdr7@mail.ru,CpjYsW33Cpzw7Dtg,3860,1930.0,2
7092257335,cscjfpp@mail.ru,7333771774717871,690,690.0,1
