client_id,dt,total,bonus,tel,email
vTzQyRgpAz1Dzzrd,2018-02-08,880,0,7011255934,87788433718@mail.ru
8QCpTluUfnC8uAsp,2018-02-08,400,110,7475053415,
zpzqzAzRXcnpOaXQ,2018-02-08,600,0,7573050559,ngtucrpzccffc@rambler.ru
4fcnzzuwdn13rl7D,2018-02-08,500,39,7473552035,
r3zJ3jCC14vXDfR7,2018-02-08,933,186,7344053354,pclufac3@yandex.ru
rfzza7lTpusYw4Yn,2018-02-08,980,0,7990155539,
v77spa3ssg3cg8cp,2018-02-08,540,0,7301152055,
dzUfvcrrYSvsgy7w,2018-02-08,2240,0,7000153553,fctclysrcp@gmail.com
rCpaX4nrnY4YfxQJ,2018-02-08,1150,0,7152251000,zcrpcratc-dcrcpzsccyc@yandex.ru
yzzguzwS4rcznfJj,2018-02-09,1170,0,7545255747,zr-rczczcfpz87@list.ru
crnnfffA7dtnr7Ul,2018-02-09,706,303,7357255359,crtgz-snsp@list.ru
fpwLnazUr3wn73Lf,2018-02-09,885,324,7523055337,
4nAQ8duwdZ7vaQUn,2018-02-09,5338,221,7140253375,rcrlczpzcarafc@rambler.ru
78WO43adcppXTvZR,2018-02-09,1269,200,7513252455,spufdpvafvafaty@list.ru
crnnfffA7dtnr7Ul,2018-02-09,2520,0,7357255359,crtgz-snsp@list.ru
fgc3rrrzOn4z343d,2018-02-09,533,86,7121333212,pnpjcs@gmail.com
fcarOwTzTnczjrR4,2018-02-10,1557,62,7925252551,
4747173187138811,2018-02-10,1055,0,7725351900,ausgzc447@ya.ru
AfncYRQczA7RUzAs,2018-02-10,1026,153,7747251175,nczcrgd@gmail.com
4cdf3qTRSn3dd8gX,2018-02-10,1326,108,7575359730,clgxcfdr-rytpz@mail.ru
4qgzzldDtc4dl4S3,2018-02-10,400,20,7427350450,
zYnzsQnWOdwtTTva,2018-02-10,1915,0,7932259530,
a3vdv3Xj3Yjz33Cn,2018-02-10,646,603,7329255323,cculpzc-g83@mail.ru
rpnXgnyr3JR7sxf7,2018-02-10,1477,342,7734253057,87787173177@mail.ru
OajnwnXr8pcwrr3p,2018-02-10,1440,0,7703255201,pcldcc-nplsrccpzc@yandex.ru
4fcnzzuwdn13rl7D,2018-02-10,479,50,7473552035,
tzSg1nca4Uw7Cvj8,2018-02-11,400,120,7350252595,ljuljc73@yandex.ru
7ntTLLd3aC8rQurW,2018-02-11,2331,268,7755050721,c-v-sclccrpz@gmail.com
ROXCW4n3RLATndYx,2018-02-11,816,183,7551153779,sgcctucc@gmail.com
CnzDd3C4vfxwn3cn,2018-02-11,476,103,7002259324,3113834@bk.ru
surarrd3L3rvvqfO,2018-02-11,1628,121,7572257323,
qnLRDgrJJXdpTwgn,2018-02-11,400,0,7125259703,
S34rC4D3YnnnznUl,2018-02-11,1358,231,7051552539,rgd-wratg-zcf-3733@gmail.com
nw8fL3RqAp4vj7ax,2018-02-11,400,260,7203595123,
vwTv3vATpX787Yzp,2018-02-11,1663,176,7455259314,stcssncrtcc87@gmail.com
7wvp8fATCQT4nz7f,2018-02-11,1000,0,7301251070,zcrtc_z87@mail.ru
ROXCW4n3RLATndYx,2018-02-12,1968,81,7551153779,sgcctucc@gmail.com
dW8nnJ7fgrrOSZuw,2018-02-12,1190,0,7219352500,
nffrnuT33pncpfgr,2018-02-12,1190,0,7454352551,nrusfacc3317@gmail.com
jvY4n4jl8pTwdzct,2018-02-12,510,0,7539051492,87143783433@mail.ru
wvgcCLvr3clrpW78,2018-02-12,766,103,7057253555,plc-7777@bk.ru
fgc3rrrzOn4z343d,2018-02-12,676,53,7121333212,pnpjcs@gmail.com
C7lnArvfAtfgCgOw,2018-02-12,563,356,7551275142,zcrafc@7771877. ru
XOtpzQp7tOpZJUcs,2018-02-13,563,136,7345153352,drgcpgf777@mail.ru
UR1zdJUu4cn7JngO,2018-02-13,400,65,7555253405,cpsgr3337@mail.ru
4qg3RL7c3j33pzn7,2018-02-13,1190,139,7552250257,daszgzngr88@mail.ru
